angDist,_RAJ2000,_DEJ2000,SimbadName,B-V,VMAG,GSVal,log(R'HK),l_log(Age),log(Age),Svalues,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.011678,11.111043,-26.51568,HIP 3479,0.664,5.21,0.17,-4.95,,9.66,Svalues,11.111,-26.5157,11.1110447752000,-26.5156828283000,0.001,0.001,90,2343647384368388608,11.11255316102,0.0367,-26.51503915448,0.0253,29.2163,0.0577,313.484,0.064,149.500,0.047,0,1.70248e+07,3.92495e+03,7.610660,8.91000e+06,7.36497e+03,7.976694,1.13449e+07,1.16154e+04,7.124918,0.851776,56.76,0.18,5644.00,0.0170,0.0090,0.93,0.795
0.027510,11.171676,20.448927,HIP 3502,0.771,4.24,0.136,-5.18,,10.0,Svalues,11.1717,20.4489,11.1716678477000,20.4489272191000,0.002,0.001,90,2801366000472903040,11.17222877480,0.0408,20.44839250391,0.0288,12.2595,0.0538,122.070,0.102,-124.192,0.062,1,7.39891e+06,1.11285e+03,8.515447,3.79599e+06,1.60561e+03,8.903075,5.05539e+06,2.95512e+03,8.002534,0.900541,-14.06,0.15,5502.00,0.7420,0.3850,1.55,1.988
0.007512,11.270393,1.785521,HIP 3535,0.983,6.32,0.261,,,,Svalues,11.2704,1.7855,11.2703909489000,1.7855213885100,0.002,0.001,90,2549518150551364864,11.27017616259,0.0509,1.78305473109,0.0361,44.5804,0.0606,-49.861,0.120,-572.897,0.065,0,1.53888e+07,2.99854e+03,7.720352,6.86265e+06,7.69804e+03,8.260159,1.18598e+07,1.33672e+04,7.076725,1.183434,9.49,0.13,4885.50,0.2180,0.0940,0.82,0.347
0.045563,11.295663,0.25328,HIP 3540,0.537,3.94,0.163,-4.91,,9.61,Svalues,11.2957,0.2533,11.2956736485000,0.2532868406130,0.003,0.003,90,2549045055609126784,11.29681697587,0.0934,0.25306234775,0.0892,24.4037,0.1019,265.543,0.184,-52.140,0.170,0,3.40583e+07,5.56746e+03,6.857808,1.88869e+07,1.32998e+04,7.160986,2.13103e+07,3.07113e+04,6.440448,0.720537,12.48,5.51,6127.33,0.1675,0.0835,1.32,2.225
0.007658,11.369533,-12.88081,HIP 3559,0.603,3.63,0.143,-5.1,,9.89,Svalues,11.3695,-12.8808,11.3695311833000,-12.8808088218000,0.001,0.001,90,2376087581593256448,11.36938251790,0.0420,-12.88169352795,0.0317,30.8128,0.0502,-33.660,0.088,-205.481,0.058,0,7.63817e+07,2.13383e+04,5.980892,4.09852e+07,3.20213e+04,6.319821,4.95279e+07,4.80918e+04,5.524796,0.795025,-10.15,0.14,5842.50,,,1.74,3.165
4.020320,11.369533,-12.88081,HIP 3559,0.603,3.63,0.143,-5.1,,9.89,Svalues,11.3695,-12.8808,11.3685345150000,-12.8813574645000,0.008,0.008,90,2376087581592047360,11.36835916732,0.3106,-12.88223375530,0.2007,29.8051,0.3233,-39.701,0.536,-203.526,0.504,0,6.41228e+04,8.53177e+02,13.670835,,,,,,,,,,,,,,
0.036393,11.548974,-22.522097,HIP 3607,0.978,0.44,0.109,,,,Svalues,11.549,-22.5221,11.5489823700000,-22.5221035127000,0.003,0.002,90,2349116011607993344,11.54988836336,0.0922,-22.52213457015,0.0603,10.5515,0.1140,194.376,0.182,-7.213,0.108,0,1.55902e+08,2.56880e+05,5.206236,6.97544e+07,6.47422e+04,5.742459,1.15935e+08,1.73154e+05,4.601379,1.141080,-11.68,0.16,4872.33,,,11.13,62.925
3.475650,11.548974,-22.522097,HIP 3607,0.978,0.44,0.109,,,,Svalues,11.549,-22.5221,11.5488487546000,-22.5211384986000,0.015,0.010,90,2349116011608006400,11.54982814436,0.5960,-22.52117906545,0.3720,14.9789,0.7686,210.124,0.939,-9.421,0.663,0,2.05756e+05,2.86943e+03,12.404984,,,,,,,,,,,,,,
0.131004,12.276213,57.815187,HIP 3821,0.587,4.59,0.165,-4.93,,9.64,Svalues,12.2762,57.8152,12.2762675180000,57.8152089307000,0.022,0.021,0,425040000951479424,12.28494507733,0.5169,57.81280313236,0.7787,171.2861,0.5815,1073.524,1.335,-558.835,1.394,1,1.00097e+09,5.49527e+06,3.187318,4.26676e+08,9.27761e+06,3.776144,5.71642e+08,2.84432e+06,2.869109,0.907035,,,5405.00,,,1.35,1.392
0.092123,12.361522,-23.212483,HIP 3850,0.769,5.78,0.248,-4.72,,9.31,Svalues,12.3615,-23.2125,12.3615050278000,-23.2124627138000,0.006,0.005,0,2348830516542120192,12.36393351074,0.1253,-23.21192948898,0.1227,53.1836,0.1264,518.372,0.346,123.849,0.368,1,3.15151e+07,6.50126e+03,6.942071,1.56868e+07,1.61429e+04,7.362549,2.20307e+07,2.90930e+04,6.404352,0.958198,9.63,0.14,5390.00,0.0370,0.0125,0.77,0.455
